FACILITY_APPROVED,Duration,discharge_rate
A New Leaf – Dorothy Mitchell,63.6,1.0
A New Leaf – Peterson,51.2,1.0
Abbott House Shelter,69.03846153846153,1.0
Abbott House TFC,85.0,1.0
BCFS Baytown,75.95161290322581,0.9838709677419355
BCFS Chavaneaux,61.15384615384615,1.0
BCFS Driscoll,31.666666666666668,0.3333333333333333
BCFS Extended Care,0.0,0.0
BCFS Fairfield,296.0,1.0
BCFS Harlingen,51.71153846153846,0.967948717948718
BCFS Raymondville,49.333333333333336,0.9074074074074074
BCFS San Antonio,48.285714285714285,0.7619047619047619
BCFS San Antonio TFC,74.89814814814815,0.8703703703703703
BCFS Tornillo,41.0,1.0
Bethany Christian Services Maryland,85.33333333333333,1.0
Bethany Christian Services Shelter,70.0,1.0
Bethany Christian Services TFC,82.37777777777778,0.9777777777777777
Board of Child Care Shelter,79.7,1.0
Board of Child Care TFC,101.66666666666667,1.0
Bokenkamp,89.48,1.0
Bokenkamp TFC,56.16129032258065,0.8709677419354839
CC Fort Worth Shelter,56.0,0.8333333333333334
CC Fort Worth TFC,38.666666666666664,0.6666666666666666
CC Houston,79.66666666666667,1.0
CHSI Casa Norma Linda,24.625,0.5
CHSI Los Fresnos,62.833333333333336,0.6666666666666666
CHSI San Benito,38.8,0.6
Catholic Charities Boystown,51.86206896551724,0.896551724137931
Catholic Guardian Services,45.6,1.0
Catholic Guardian Services Crotona,61.5,1.0
Catholic Guardian Services TFC,65.92307692307692,0.7692307692307693
Cayuga Centers,76.9144385026738,0.9064171122994652
Center for Family Services Shelter,77.5,1.0
Childrens Home of Kingston,47.714285714285715,1.0
Childrens Village Shelter,78.1304347826087,0.9565217391304348
Crittenton Shelter,66.31818181818181,0.9090909090909091
David and Margaret,47.84615384615385,1.0
David and Margaret LTFC,0.0,0.0
H,0.0,0.0
Heartland CHAP,113.5,0.9
Heartland Guadalupe,49.973684210526315,0.9210526315789473
Heartland Intl Childrens Center,88.42857142857143,1.0
Heartland Intl Childrens RC,72.93023255813954,1.0
His House,54.39393939393939,0.9545454545454546
Holy Family Institute,80.26315789473684,1.0
Homestead,67.74698795180723,0.963855421686747
IES Brownsville,71.0,1.0
IES Harlingen,66.0,1.0
IES Los Fresnos,68.0,1.0
International Christian Adoptions,72.83333333333333,1.0
JCCA,0.0,0.0
KidsPeace,68.5,0.9375
LSS Carolinas TFC,45.42857142857143,0.8571428571428571
LSS of New York,59.0,1.0
LSS of New York TFC,59.02439024390244,0.8292682926829268
LSSS New Hope,70.0909090909091,1.0
Leake and Watts,49.2,0.8
Leake and Watts TFC,68.93103448275862,0.8275862068965517
Lincoln Hall Boys Haven,64.41666666666667,0.9166666666666666
Maryville Academy,50.333333333333336,0.6666666666666666
MercyFirst,74.57894736842105,0.8947368421052632
Morrison Downtown,61.0,1.0
Noank,49.5,1.0
Nuevo Amanecer LCS,63.35294117647059,0.7647058823529411
Rite of Passage ‐ Canyon,85.25,1.0
Rite of Passage ‐ Sycamore,84.57142857142857,1.0
SWK Processing Center,63.357142857142854,1.0
Seton Home,32.0,1.0
Shiloh Treatment Center,50.666666666666664,0.6666666666666666
Southwest Key Antigua,70.67088607594937,0.9367088607594937
Southwest Key Campbell,70.0,0.9879518072289156
Southwest Key Canutillo,74.16,1.0
Southwest Key Casa Blanca,102.5,1.0
Southwest Key Casa Franklin,82.63157894736842,1.0
Southwest Key Casa Houston,53.2,1.0
Southwest Key Casa Kokopelli,95.41538461538461,0.9846153846153847
Southwest Key Casa Lighthouse,66.4375,0.9375
Southwest Key Casa Montezuma,73.38461538461539,0.9743589743589743
Southwest Key Casa Padre,77.89754098360656,0.9754098360655737
Southwest Key Casa Phoenix,71.47619047619048,0.9809523809523809
Southwest Key Casa Quetzal,69.25581395348837,0.9534883720930233
Southwest Key Casita Del Valle,87.1,0.95
Southwest Key Combes,56.78651685393258,0.8764044943820225
Southwest Key Conroe,71.52272727272727,0.8863636363636364
Southwest Key El Presidente,59.32876712328767,0.9863013698630136
Southwest Key Estrella,69.27368421052631,1.0
Southwest Key Glendale,61.31818181818182,1.0
Southwest Key Las Palmas,106.86666666666666,0.9333333333333333
Southwest Key Mesa Shelter,79.5,1.0
Southwest Key Nueva Esperanza,54.471698113207545,1.0
Southwest Key Pleasant Hill,36.0,0.6666666666666666
Southwest Key Rio Grande,61.1063829787234,0.9361702127659575
Southwest Key San Diego,67.0,0.8823529411764706
Southwest Key Sol,87.03636363636363,0.9454545454545454
St. PJs Childrens Home,74.11111111111111,0.9259259259259259
St. PJs TFC,40.0,0.6666666666666666
The Villages,66.85714285714286,1.0
Upbring,67.45714285714286,0.8857142857142857
Youth For Tomorrow,54.68181818181818,0.9545454545454546
Youthcare,85.625,1.0
